We (rad/s),Te (Nm),Fuel Consumption (g/s)
105.557513160617,63.0968025445156,0.351720428653784
130.376095123976,81.9129288591293,0.519411583112606
137.706477982353,82.716873687305,0.551121958252251
205.460159544772,88.9504478757507,0.855426742908951
271.538325025278,93.5232240835244,1.17290812793647
281.696141271885,94.2404162474559,1.2252993290112
339.082567077458,98.0864240525574,1.54757470928273
409.24480300763,101.606210544961,2.00773008709974
418.879020478639,122.940777534006,2.39673388604498
418.879020478639,125.225670771998,2.43255696360941
418.879020478639,108.621576162474,2.1754340641996
403.380496720929,101.366333220892,1.96793878248831
350.287580875262,98.8547535294622,1.61796639187852
284.628294415235,94.4145411071047,1.24017366128762
202.213847136063,88.6241111893888,0.839899353723963
